Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
arht 166.66365297 -77.82943656  135.333   -11.54     9.48     1.05   0.17   0.16   0.65 
arl5 262.93971731 32.75903335  142.826    -2.51   -14.17    -2.21   0.27   0.26   0.64 
arli 237.85814062 48.17406724   23.311    -9.01    -9.78    -0.39   0.05   0.06    0.2 
arln 239.81673045 45.70820589  120.403    -9.42   -12.57     -1.5   0.08    0.1   0.46 
arm1 241.08957898 35.20125173   76.961     0.87   -28.45   -28.78   0.18   0.15    1.7 
arm2 241.08944401 35.20125947   76.945    -0.19   -26.74   -27.82   0.17   0.08   1.49 
armi 37.56085155 6.06242735 1199.839    13.55     24.7    15.82   0.97   1.05   3.83 
arol 275.29079688 10.4371889  754.777    17.86    15.79    -2.67   0.61   0.41   1.07 
arp3 262.9410431 27.83835197  -16.610    -3.26   -15.68    -1.28   0.16   0.36   0.35 
arp7 262.94104103 27.83835199  -16.423    -3.95   -12.46    -1.04   0.18   0.17   0.54 
arta 176.13641235 -38.61758174  369.710    35.32     1.54     -5.0   0.16   0.26    0.5 
artu 58.56045456 56.42982126  247.566      6.2    25.26     0.37   0.04   0.05   0.22 
asbu 238.63149343 43.82056504 1508.869    -7.69   -13.42    -0.61   0.07   0.08   0.31 
asc1 345.58792801 -7.95121445  105.120    11.24    -5.39    -0.82   0.17    0.2    0.5 
ascg 345.66733556 -7.91628095   37.970    10.37    -7.03    -0.54   0.24   0.57    0.3 
ashl 237.329831 42.18069075  608.716    -5.21   -15.22      0.4    0.1   0.11   0.25 
ashm 243.86062337 36.34592071  885.728    -8.94   -15.11    -0.51   0.08   0.06   0.19 
ashv 277.45379654 35.59945453  659.160     2.41   -13.84      0.2   0.14   0.13   0.51 
asky 301.74265359 75.72612842  687.262      9.8   -21.21    16.51   0.09   0.05   0.29 
aspa 189.27756787 -14.32609691   53.646    34.19   -63.69     -1.2   0.07   0.08   0.21 
atl1 275.47960423 33.93562779  295.319      1.8   -14.54     0.85   0.44   0.44   1.94 
atli 226.2855278 59.58948161  792.856   -11.88   -10.93     9.67   0.16   0.08   0.33 
atqk 202.59213157 70.47203333   28.003    -22.4    -4.63    -1.56   0.08   0.08   0.27 
